#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
2117|SERVICIOS WEB|PROPIETARIO|M|35|MIRAFLORES|LIMA|COLOMBIANA|2023|JULIO|57|E|COLOMBIANA|2023-07-25
2118|SERVICIOS WEB|PROPIETARIO|F|43|LINCE|LIMA|CHINA|2023|JULIO|0|E|CHINA|2023-07-25
2119|SERVICIOS WEB|PROPIETARIO|F|22|MIRAFLORES|LIMA|INDIA|2023|JULIO|0|E|INDIA|2023-07-25
2120|SERVICIOS WEB|PROPIETARIO|F|27|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|JULIO|0|E|VENEZOLANA|2023-07-25
2121|SERVICIOS WEB|PROPIETARIO|F|28|LA VICTORIA|LIMA|VENEZOLANA|2023|JULIO|1|E|VENEZOLANA|2023-07-25
2122|SERVICIOS WEB|PROPIETARIO|M|42|MIRAFLORES|LIMA|ESTADOUNIDENSE|2023|JULIO|51|E|ESTADOUNIDENSE|2023-07-25
2123|SERVICIOS WEB|PROPIETARIO|F|30|JESUS MARIA|LIMA|COLOMBIANA|2023|JULIO|0|E|COLOMBIANA|2023-07-25
2124|SERVICIOS WEB|PROPIETARIO|M|45|LA MOLINA|LIMA|MEXICANA|2023|JULIO|0|E|MEXICANA|2023-07-25
2125|SERVICIOS WEB|PROPIETARIO|F|30|JESUS MARIA|LIMA|COLOMBIANA|2023|JULIO|0|E|COLOMBIANA|2023-07-25
2126|SERVICIOS WEB|PROPIETARIO|M|28|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|JULIO|0|E|VENEZOLANA|2023-07-25
2127|SERVICIOS WEB|PROPIETARIO|M|39|BARRANCO|LIMA|VENEZOLANA|2023|JULIO|50|E|VENEZOLANA|2023-07-25
2128|SERVICIOS WEB|PROPIETARIO|M|44|LA MOLINA|LIMA|DOMINICANA|2023|JULIO|1|E|DOMINICANA|2023-07-25
2129|SERVICIOS WEB|PROPIETARIO|M|53|PIMENTEL|LAMBAYEQUE|CHILENA|2023|JULIO|39|E|CHILENA|2023-07-25
2130|SERVICIOS WEB|PROPIETARIO|M|51|PUCUSANA|LIMA|CHINA|2023|JULIO|3|E|CHINA|2023-07-25
2131|TUMBES|PROPIETARIO|F|27|TUMBES|TUMBES|ECUATORIANA|2023|JULIO|8|E|ECUATORIANA|2023-07-25
2132|SERVICIOS WEB|PROPIETARIO|M|32|SANTIAGO DE SURCO|LIMA|CHILENA|2023|JULIO|11|E|CHILENA|2023-07-25
2133|TUMBES|PROPIETARIO|M|30|TUMBES|TUMBES|ECUATORIANA|2023|JULIO|5|E|ECUATORIANA|2023-07-25
2134|SERVICIOS WEB|PROPIETARIO|F|42|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|JULIO|0|E|VENEZOLANA|2023-07-25
2135|SERVICIOS WEB|PROPIETARIO|F|33|SAN MIGUEL|LIMA|COLOMBIANA|2023|JULIO|34|E|COLOMBIANA|2023-07-25
