#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
1|SERVICIOS WEB|PROPIETARIO|F|32|PISAC|CUSCO|ALEMANA|2023|OCTUBRE|11|E|ALEMANA|2023-10-01
2|SERVICIOS WEB|PROPIETARIO|M|62|CALLAO|CALLAO|CHINA|2023|OCTUBRE|1|E|CHINA|2023-10-01
3|SERVICIOS WEB|PROPIETARIO|M|39|SAN MARTIN DE PORRES|LIMA|CHINA|2023|OCTUBRE|0|E|CHINA|2023-10-01
4|SERVICIOS WEB|PROPIETARIO|M|29|HUAURA|LIMA|DOMINICANA|2023|OCTUBRE|0|E|DOMINICANA|2023-10-02
5|SERVICIOS WEB|PROPIETARIO|M|56|SAN BORJA|LIMA|CHINA|2023|OCTUBRE|0|E|CHINA|2023-10-02
6|SERVICIOS WEB|PROPIETARIO|M|48|MIRAFLORES|LIMA|CHILENA|2023|OCTUBRE|142|E|CHILENA|2023-10-02
7|SERVICIOS WEB|PROPIETARIO|F|23|SURQUILLO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-02
8|SERVICIOS WEB|PROPIETARIO|M|37|EL AGUSTINO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-02
9|SERVICIOS WEB|PROPIETARIO|M|27|MIRAFLORES|LIMA|BRASILERA|2023|OCTUBRE|17|E|BRASILERA|2023-10-02
10|SERVICIOS WEB|PROPIETARIO|M|37|HUACHO|LIMA|COLOMBIANA|2023|OCTUBRE|2|E|COLOMBIANA|2023-10-02
11|SERVICIOS WEB|PROPIETARIO|M|52|LIMA|LIMA|ITALIANA|2023|OCTUBRE|0|E|ITALIANA|2023-10-02
12|SERVICIOS WEB|PROPIETARIO|F|37|COMAS|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-02
13|SERVICIOS WEB|PROPIETARIO|F|58|EL AGUSTINO|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-02
14|SERVICIOS WEB|PROPIETARIO|F|29|SAN BORJA|LIMA|VENEZOLANA|2023|OCTUBRE|0|E|VENEZOLANA|2023-10-02
15|SERVICIOS WEB|PROPIETARIO|F|43|CHACLACAYO|LIMA|PANAMEÑA|2023|OCTUBRE|1|E|PANAMEÑA|2023-10-02
16|SERVICIOS WEB|PROPIETARIO|F|73|<NO DEFINIDO>|<NO DEFINIDO>|ESTADOUNIDENSE|2023|OCTUBRE|20|E|ESTADOUNIDENSE|2023-10-02
17|SERVICIOS WEB|PROPIETARIO|M|38|SAN ISIDRO|LIMA|ARGENTINA|2023|OCTUBRE|17|E|ARGENTINA|2023-10-02
18|SERVICIOS WEB|PROPIETARIO|F|53|LA MOLINA|LIMA|ALEMANA|2023|OCTUBRE|37|E|ALEMANA|2023-10-02
