#|SEDE_ATENCION|TIPO_SOLICITUD|SEXO_BENEFICIARIO|EDAD_BENEFICIARIO|DISTRITO_BENEFICIARIO|DEPARTAMENTO_BENEFICIARIO|NACIONALIDAD_BENEFICIARIO|ANO_TRA|MES_TRA|TOTAL_MOV_MIGRA|ESTADO_TRAMITE|NACIONALIDAD_SOLICITANTE|FECHA_DE_CORTE
453|SERVICIOS WEB|PROPIETARIO|F|40|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
454|SERVICIOS WEB|PROPIETARIO|F|34|JOSE LEONARDO ORTIZ|LAMBAYEQUE|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
455|SERVICIOS WEB|PROPIETARIO|F|34|PISAC|CUSCO|ALEMANA|2023|SEPTIEMBRE|0|E|ALEMANA|2023-09-30
456|SERVICIOS WEB|PROPIETARIO|F|44|SAN ISIDRO|LIMA|PERUANA|2023|SEPTIEMBRE|2|E|PERUANA|2023-09-30
457|SERVICIOS WEB|PROPIETARIO|F|31|SAN ISIDRO|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-30
458|SERVICIOS WEB|PROPIETARIO|F|32|COMAS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
459|SERVICIOS WEB|PROPIETARIO|F|44|LOS OLIVOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
460|SERVICIOS WEB|PROPIETARIO|F|75|SAN MIGUEL|LIMA|ESPAÑOLA|2023|SEPTIEMBRE|0|E|ESPAÑOLA|2023-09-30
461|SERVICIOS WEB|PROPIETARIO|F|35|LOS OLIVOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
462|SERVICIOS WEB|PROPIETARIO|F|47|SAN JUAN DE LURIGANCHO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
463|SERVICIOS WEB|PROPIETARIO|M|36|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
464|SERVICIOS WEB|PROPIETARIO|M|26|SAN MIGUEL|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
465|SERVICIOS WEB|PROPIETARIO|M|33|JESUS MARIA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-30
466|SERVICIOS WEB|PROPIETARIO|F|61|SANTIAGO DE SURCO|LIMA|COREANA|2023|SEPTIEMBRE|12|E|COREANA|2023-09-29
467|SERVICIOS WEB|PROPIETARIO|M|32|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
468|SERVICIOS WEB|PROPIETARIO|M|34|CARABAYLLO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
469|SERVICIOS WEB|PROPIETARIO|M|38|SAN ISIDRO|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-29
470|SERVICIOS WEB|PROPIETARIO|M|52|SANTIAGO DE SURCO|LIMA|ESTADOUNIDENSE|2023|SEPTIEMBRE|17|E|ESTADOUNIDENSE|2023-09-29
471|SERVICIOS WEB|PROPIETARIO|M|91|SAN ISIDRO|LIMA|CHILENA|2023|SEPTIEMBRE|0|E|CHILENA|2023-09-29
472|SERVICIOS WEB|PROPIETARIO|M|80|SANTIAGO DE SURCO|LIMA|ESPAÑOLA|2023|SEPTIEMBRE|0|E|ESPAÑOLA|2023-09-29
473|SERVICIOS WEB|PROPIETARIO|F|29|CHORRILLOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
474|LIMA|PROPIETARIO|M|46|LINCE|LIMA|ARGENTINA|2023|SEPTIEMBRE|28|E|ARGENTINA|2023-09-29
475|SERVICIOS WEB|PROPIETARIO|M|29|SAN JUAN DE LURIGANCHO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
476|SERVICIOS WEB|PROPIETARIO|F|36|SACHACA|AREQUIPA|COLOMBIANA|2023|SEPTIEMBRE|5|E|COLOMBIANA|2023-09-29
477|LIMA|PROPIETARIO|M|46|LINCE|LIMA|ARGENTINA|2023|SEPTIEMBRE|28|E|ARGENTINA|2023-09-29
478|SERVICIOS WEB|PROPIETARIO|M|25|SANTA ANITA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
479|SERVICIOS WEB|PROPIETARIO|M|36|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
480|SERVICIOS WEB|PROPIETARIO|M|34|COMAS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
481|SERVICIOS WEB|PROPIETARIO|M|27|VILLA MARIA DEL TRIUNFO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
482|SERVICIOS WEB|PROPIETARIO|M|68|MIRAFLORES|LIMA|ARGENTINA|2023|SEPTIEMBRE|0|E|ARGENTINA|2023-09-29
483|SERVICIOS WEB|PROPIETARIO|F|36|SAN JUAN DE MIRAFLORES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
484|SERVICIOS WEB|PROPIETARIO|M|29|LOS OLIVOS|LIMA|ECUATORIANA|2023|SEPTIEMBRE|0|E|ECUATORIANA|2023-09-29
485|SERVICIOS WEB|PROPIETARIO|M|37|ATE|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
486|SERVICIOS WEB|PROPIETARIO|F|27|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
487|SERVICIOS WEB|PROPIETARIO|F|31|ICA|ICA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-29
488|SERVICIOS WEB|PROPIETARIO|M|59|<NO DEFINIDO>|<NO DEFINIDO>|ESPAÑOLA|2023|SEPTIEMBRE|60|E|ESPAÑOLA|2023-09-29
489|SERVICIOS WEB|PROPIETARIO|M|33|CARMEN DE LA LEGUA REYNOSO|CALLAO|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
490|SERVICIOS WEB|PROPIETARIO|M|38|SAN MARTIN DE PORRES|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
491|SERVICIOS WEB|PROPIETARIO|F|21|SAN MIGUEL|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
492|SERVICIOS WEB|PROPIETARIO|F|24|TRUJILLO|LA LIBERTAD|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
493|SERVICIOS WEB|PROPIETARIO|M|30|EL AGUSTINO|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-28
494|SERVICIOS WEB|PROPIETARIO|M|37|SAN ISIDRO|LIMA|ECUATORIANA|2023|SEPTIEMBRE|15|E|ECUATORIANA|2023-09-28
495|SERVICIOS WEB|PROPIETARIO|M|28|CARABAYLLO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
496|SERVICIOS WEB|PROPIETARIO|F|32|SAN ISIDRO|LIMA|ECUATORIANA|2023|SEPTIEMBRE|19|E|ECUATORIANA|2023-09-28
497|SERVICIOS WEB|PROPIETARIO|M|43|SAN ISIDRO|LIMA|ITALIANA|2023|SEPTIEMBRE|14|E|ITALIANA|2023-09-28
498|SERVICIOS WEB|PROPIETARIO|M|57|SAN LUIS|LIMA|CHILENA|2023|SEPTIEMBRE|4|E|CHILENA|2023-09-28
499|SERVICIOS WEB|PROPIETARIO|F|38|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
500|SERVICIOS WEB|PROPIETARIO|M|33|SANTA ANITA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
501|SERVICIOS WEB|PROPIETARIO|M|43|BARRANCO|LIMA|FRANCESA|2023|SEPTIEMBRE|0|E|FRANCESA|2023-09-28
502|SERVICIOS WEB|PROPIETARIO|F|34|SANTIAGO DE SURCO|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
503|SERVICIOS WEB|PROPIETARIO|F|56|BELLAVISTA|CALLAO|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
504|SERVICIOS WEB|PROPIETARIO|M|50|SAN MIGUEL|LIMA|ARGENTINA|2023|SEPTIEMBRE|0|E|ARGENTINA|2023-09-28
505|SERVICIOS WEB|PROPIETARIO|F|30|CALLAO|CALLAO|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
506|SERVICIOS WEB|PROPIETARIO|M|59|AREQUIPA|AREQUIPA|ESTADOUNIDENSE|2023|SEPTIEMBRE|0|E|ESTADOUNIDENSE|2023-09-28
507|SERVICIOS WEB|PROPIETARIO|M|59|BREÑA|LIMA|COLOMBIANA|2023|SEPTIEMBRE|2|E|COLOMBIANA|2023-09-28
508|SERVICIOS WEB|PROPIETARIO|M|28|ATE|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
509|SERVICIOS WEB|PROPIETARIO|F|48|LA MOLINA|LIMA|CHILENA|2023|SEPTIEMBRE|1|E|CHILENA|2023-09-28
510|SERVICIOS WEB|PROPIETARIO|M|30|SANTA ANITA|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
511|SERVICIOS WEB|PROPIETARIO|M|61|LA MOLINA|LIMA|ESTADOUNIDENSE|2023|SEPTIEMBRE|0|E|ESTADOUNIDENSE|2023-09-28
512|SERVICIOS WEB|PROPIETARIO|M|46|MIRAFLORES|LIMA|COLOMBIANA|2023|SEPTIEMBRE|0|E|COLOMBIANA|2023-09-28
513|SERVICIOS WEB|PROPIETARIO|F|48|CHORRILLOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
514|SERVICIOS WEB|PROPIETARIO|M|67|PACHACAMAC|LIMA|ESTADOUNIDENSE|2023|SEPTIEMBRE|0|E|ESTADOUNIDENSE|2023-09-28
515|SERVICIOS WEB|PROPIETARIO|M|57|LA VICTORIA|LIMA|IRANI|2023|SEPTIEMBRE|2|E|IRANI|2023-09-28
516|SERVICIOS WEB|PROPIETARIO|M|29|MIRAFLORES|LIMA|ESTADOUNIDENSE|2023|SEPTIEMBRE|10|E|ESTADOUNIDENSE|2023-09-28
517|SERVICIOS WEB|PROPIETARIO|M|51|SAN JUAN DE MIRAFLORES|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-28
518|SERVICIOS WEB|PROPIETARIO|F|53|LOS OLIVOS|LIMA|VENEZOLANA|2023|SEPTIEMBRE|1|E|VENEZOLANA|2023-09-28
519|SERVICIOS WEB|PROPIETARIO|M|27|VILLA EL SALVADOR|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
520|SERVICIOS WEB|PROPIETARIO|F|26|RIMAC|LIMA|VENEZOLANA|2023|SEPTIEMBRE|0|E|VENEZOLANA|2023-09-28
521|SERVICIOS WEB|PROPIETARIO|F|55|CAYLLOMA|AREQUIPA|VENEZOLANA|2023|SEPTIEMBRE|1|E|VENEZOLANA|2023-09-28
522|SERVICIOS WEB|PROPIETARIO|M|69|<NO DEFINIDO>|<NO DEFINIDO>|CANADIENSE|2023|SEPTIEMBRE|228|E|CANADIENSE|2023-09-28
523|SERVICIOS WEB|PROPIETARIO|M|49|MIRAFLORES|LIMA|ESPAÑOLA|2023|SEPTIEMBRE|8|E|ESPAÑOLA|2023-09-28
524|SERVICIOS WEB|PROPIETARIO|F|27|<NO DEFINIDO>|<NO DEFINIDO>|COLOMBIANA|2023|SEPTIEMBRE|1|E|COLOMBIANA|2023-09-28
525|SERVICIOS WEB|PROPIETARIO|M|51|SAN ISIDRO|LIMA|CHILENA|2023|SEPTIEMBRE|0|E|CHILENA|2023-09-28
526|SERVICIOS WEB|PROPIETARIO|F|55|<NO DEFINIDO>|<NO DEFINIDO>|ESPAÑOLA|2023|SEPTIEMBRE|13|E|ESPAÑOLA|2023-09-28
527|SERVICIOS WEB|PROPIETARIO|F|36|PUENTE PIEDRA|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-27
528|SERVICIOS WEB|PROPIETARIO|F|36|SAN BORJA|LIMA|CHINA|2023|SEPTIEMBRE|0|E|CHINA|2023-09-27
529|SERVICIOS WEB|PROPIETARIO|M|39|MIRAFLORES|LIMA|MEXICANA|2023|SEPTIEMBRE|0|E|MEXICANA|2023-09-27
530|SERVICIOS WEB|PROPIETARIO|F|30|MANCORA|PIURA|ECUATORIANA|2023|SEPTIEMBRE|0|E|ECUATORIANA|2023-09-27
531|SERVICIOS WEB|PROPIETARIO|F|38|JESUS MARIA|LIMA|BRASILERA|2023|SEPTIEMBRE|0|E|BRASILERA|2023-09-27
